comment_id,comment_text,date
1,闪退严重！,2026-06-05
2,建议增加夜间模式,2026-06-05
3,怎么注销账号,2026-06-06
4,很好用！,2026-06-06
5,卡顿受不了,2026-06-07
6,建议优化启动速度,2026-06-07
7,会员怎么取消,2026-06-08
8,界面太丑，无语,2026-06-08
9,建议添加搜索功能,2026-06-09
10,功能强大，速度很快,2026-06-09
11,耗电太快,2026-06-05
12,建议支持离线模式,2026-06-06
13,如何联系客服,2026-06-07
14,广告太多！,2026-06-08
15,建议改善客服响应,2026-06-09
16,良心应用~,2026-06-10
17,客服不回复,2026-06-05
18,建议增加表情包,2026-06-06
19,什么时候更新,2026-06-07
20,功能找不到，无语,2026-06-08
21,建议降低会员价格,2026-06-09
22,推送垃圾,2026-06-10
23,怎么导出数据,2026-06-05
24,账号登不上,2026-06-06
25,建议支持多语言,2026-06-07
26,支付失败,2026-06-08
27,数据丢失,2026-06-09
28,建议增加历史记录,2026-06-10
29,界面清爽,2026-06-05
30,怎么改昵称,2026-06-06
31,闪退又来了,2026-06-07
32,建议加入手势操作,2026-06-08
33,绑定手机失败,2026-06-09
34,良心应用！,2026-06-10
35,卡的要命,2026-06-05
36,建议增加语音输入,2026-06-06
37,客服态度差,2026-06-07
38,怎么开会员,2026-06-08
39,经常闪退，烦,2026-06-09
40,建议优化推送,2026-06-10
41,很好用，推荐,2026-06-11
42,怎么删除评论,2026-06-11
43,耗电像流水,2026-06-11
44,建议增加小组件,2026-06-11
45,登录不上,2026-06-11
46,功能很实用,2026-06-11
47,建议简化界面,2026-06-11
48,怎么反馈bug,2026-06-11
49,老闪退，求修复,2026-06-11
50,太棒了！,2026-06-11
